Курганская область,45
Калужская область,40
Тюменская область,72
Ростовская область,61
Самарская область,63
Псковская область,60
Камчатский край,41
Магаданская область,49
Удмуртская Республика,18
Ульяновская область,73
Алтайский край,22
Республика Калмыкия,08
Республика Алтай,04
Архангельская область,29
Республика Коми,11
Приморский край,25
Курская область,46
Ленинградская область,47
Оренбургская область,56
Еврейская автономная область,79
Липецкая область,48
Республика Северная Осетия – Алания,15
Владимирская область,33
Орловская область,57
Кировская область,43
Новосибирская область,54
Мурманская область,51
Краснодарский край,23
Республика Саха (Якутия),14
Тверская область,69
Тамбовская область,68
Воронежская область,36
Пермский край,59
Ненецкий автономный округ,83
Астраханская область,30
Красноярский край,24
Чукотский автономный округ,87
Чувашская Республика – Чувашия,21
Ставропольский край,26
Кабардино-Балкарская Республика,07
Вологодская область,35
Республика Карелия,10
Чеченская Республика,20
Кемеровская область,42
Хабаровский край,27
Ярославская область,76
Республика Тыва,17
Карачаево-Черкесская Республика,09
Омская область,55
Республика Башкортостан,02
Белгородская область,31
Новгородская область,53
Ивановская область,37
Ямало-Ненецкий автономный округ,89
Московская область,50
Тульская область,71
Республика Марий Эл,12
Республика Ингушетия,06
Свердловская область,66
Республика Дагестан,05
Костромская область,44
Смоленская область,67
Забайкальский край,75
Республика Татарстан (Татарстан),16
Республика Бурятия,03
Волгоградская область,34
Пензенская область,58
Республика Адыгея (Адыгея),01
Томская область,70
Республика Мордовия,13
Республика Хакасия,19
Рязанская область,62
Челябинская область,74
Амурская область,28
Ханты-Мансийский автономный округ – Югра,86
Брянская область,32
Саратовская область,64
Иркутская область,38
Нижегородская область,52
Сахалинская область,65
Калининградская область,39
